Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
CPFO11,Fundo de Fundos,,,,31.42,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,118155565.38,,,,,,,14,,8102,,,
CPLG11,Misto,11.75,18222377.13,1.22,0.03,0.26 ,0.67 ,4.42 ,7.75 ,0.67 ,0.74 ,0.97 ,4.42 ,2.44 ,2.71 ,21.44 ,330737508.54,,,,,,,1,37.53,339,,,
CPOF11,Misto,108.50,108.00,0.99,0.75,0.00 ,0.60 ,2.15 ,6.24 ,0.60 ,0.36 ,0.52 ,2.96 ,0.00 ,0.00 ,,523490818.64,,,,,,,7,44.90,123,,,
CPSH11,Indefinido,9.45,1397229.70,0.80,0.10,1.01 ,3.10 ,6.54 ,13.50 ,1.03 ,1.09 ,1.13 ,7.71 ,2.59 ,3.63 ,26.97 ,933384512.43,,,,,,,7,14.67,22116,,0.92  aa,10.00  aa
CPTI11,Indefinido,81.19,1181573.13,,1.00,1.22 ,3.61 ,7.31 ,14.79 ,1.20 ,1.22 ,1.23 ,9.96 ,-1.78 ,-0.58 ,13.54 ,,,,,,,,0,16.47,0,,1.00  aa,
CPTR11,Indefinido,7.57,189170.22,0.76,0.11,1.47 ,4.37 ,7.96 ,11.85 ,1.46 ,1.33 ,0.99 ,7.96 ,4.31 ,5.84 ,2.88 ,195821494.27,9.88,0.77,1.11 ,-89.99 ,-89.88 ,-89.73 ,0,17.74,22095,,1.00  aa,20.00  aa
CPTS11,Papéis,7.31,2976699.65,0.82,0.09,1.18 ,3.57 ,7.21 ,13.88 ,1.19 ,1.20 ,1.16 ,8.43 ,4.50 ,5.73 ,33.10 ,2928770236.61,8.96,0.82,0.97 ,-89.91 ,-89.81 ,-89.71 ,14,15.67,357039,0.82  aa,,
CRAA11,Indefinido,94.56,457424.78,0.93,1.25,1.30 ,3.92 ,7.69 ,14.00 ,1.31 ,1.28 ,1.17 ,9.64 ,-0.99 ,0.30 ,31.08 ,241845274.08,102.05,0.93,1.22 ,0.00 ,0.00 ,0.00 ,0,13.64,9123,,1.15  aa,20.00  aa
CRFF11,Fundo de Fundos,69.49,16038.74,0.89,0.61,0.87 ,2.55 ,5.05 ,10.74 ,0.85 ,0.84 ,0.90 ,8.04 ,-3.52 ,-2.68 ,15.83 ,56421416.83,81.77,0.85,0.75 ,-2.65 ,-1.93 ,3.56 ,14,40.80,1244,,,
CSMC11,Indefinido,,,,9.21,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,1669753940.45,,,,,,,8,,1,,,
CTXT11,Lajes Corporativas,5.52,572.74,0.26,0.01,0.04 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.34 ,1.40 ,1.44 ,-49.65 ,100290936.71,48.33,0.11,0.19 ,-0.10 ,0.09 ,0.54 ,1,57.59,2284,,,
CVBI11,Papéis,86.23,1149599.83,0.94,1.05,1.21 ,3.69 ,7.74 ,14.61 ,1.23 ,1.29 ,1.22 ,9.09 ,2.04 ,3.28 ,29.94 ,1014208936.99,92.12,0.94,1.14 ,-1.85 ,-0.74 ,5.91 ,14,18.76,84443,0.90  aa,0.10  aa,
CVPR11,Indefinido,,,,0.59,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,59351825.28,,,,,,,14,,3,,,
CXAG11,Agências de Bancos,73.99,140330.35,0.62,0.70,0.94 ,3.45 ,6.48 ,12.58 ,1.15 ,1.08 ,1.05 ,8.55 ,-1.11 ,-0.18 ,19.80 ,242156908.21,115.83,0.64,0.60 ,1.03 ,1.64 ,20.99 ,32,13.71,11879,,0.58  aa,
CXCE11B,Lajes Corporativas,44.01,9205.00,0.60,0.43,1.09 ,3.25 ,6.56 ,12.24 ,1.08 ,1.09 ,1.02 ,12.24 ,0.18 ,1.27 ,3.73 ,110543765.88,64.53,0.68,0.67 ,-1.63 ,-0.97 ,0.19 ,1,22.21,3247,,,
CXCI11,Indefinido,64.12,257997.52,0.76,0.75,1.17 ,3.60 ,7.10 ,13.93 ,1.20 ,1.18 ,1.16 ,9.56 ,-5.13 ,-4.02 ,11.30 ,175786419.18,85.43,0.75,0.88 ,-8.25 ,-7.44 ,-5.45 ,14,17.45,5365,,,
CXCO11,Lajes Corporativas,54.88,74892.30,0.60,0.66,1.11 ,3.90 ,7.41 ,14.17 ,1.30 ,1.24 ,1.18 ,10.16 ,-5.29 ,-4.24 ,23.24 ,376982512.26,96.06,0.57,0.68 ,-3.26 ,-2.60 ,9.75 ,10,23.54,12597,0.13  aa,0.13  aa,
CXRI11,Fundo de Fundos,60.50,17627.39,0.74,0.59,0.96 ,2.84 ,5.64 ,11.13 ,0.95 ,0.94 ,0.93 ,8.53 ,-2.71 ,-1.78 ,2.19 ,128022175.43,81.24,0.74,0.73 ,-1.71 ,-0.99 ,3.61 ,1,40.29,1824,,,
CXTL11,Imóveis Industriais e Logísticos,225.42,4552.22,0.56,0.29,0.13 ,1.13 ,4.97 ,10.69 ,0.38 ,0.83 ,0.89 ,6.05 ,5.54 ,5.68 ,24.36 ,21014376.59,392.08,0.57,0.55 ,-19.90 ,-19.46 ,-32.48 ,1,61.62,640,,,
CYCR11,Indefinido,8.51,450888.61,0.91,0.11,1.23 ,3.81 ,7.61 ,14.58 ,1.27 ,1.27 ,1.22 ,10.19 ,-3.79 ,-2.61 ,21.50 ,344402011.50,9.42,0.90,1.22 ,-1.26 ,-0.05 ,-89.22 ,14,16.92,18068,,0.95  aa,20.00  aa
DAMA11,Misto,6.99,7491.65,0.82,0.09,1.25 ,3.64 ,6.95 ,11.73 ,1.21 ,1.16 ,0.98 ,8.43 ,1.28 ,2.55 ,-14.40 ,46888703.08,,,,,,,14,35.58,756,,,
DAMT11B,Shoppings,11.45,23.00,0.77,0.40,3.50 ,3.50 ,3.50 ,3.50 ,1.17 ,0.58 ,0.29 ,3.50 ,-11.86 ,-8.77 ,-8.77 ,264384853.88,,,,,,,2,11.75,518,,,
DCRA11,Indefinido,7.14,48892.43,0.74,0.09,1.24 ,3.59 ,7.47 ,16.39 ,1.20 ,1.25 ,1.37 ,10.67 ,-4.74 ,-3.56 ,25.97 ,64977348.91,9.64,0.74,0.93 ,0.00 ,0.00 ,0.00 ,0,19.85,16230,0.87  aa,0.17  aa,10.00  aa
DEVA11,Papéis,29.79,440076.35,0.33,0.34,1.10 ,3.80 ,8.35 ,17.23 ,1.27 ,1.39 ,1.44 ,11.47 ,-10.16 ,-9.17 ,24.13 ,1364551185.73,97.16,0.31,0.46 ,-4.09 ,-3.64 ,15.54 ,14,24.77,88417,1.00  aa,0.20  aa,10.00  aa
DLMT11,Varejo,,,,0.00,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,8514149.96,,,,,,,7,,9,,,
DPRO11,Indefinido,6.09,305.26,0.65,0.06,1.01 ,2.89 ,5.72 ,11.53 ,0.96 ,0.95 ,0.96 ,7.90 ,-1.32 ,-0.33 ,11.73 ,45780618.97,,,,,,,1,49.26,737,,,
DRIT11B,Lajes Corporativas,83.30,1547.00,0.62,0.53,0.63 ,1.94 ,3.25 ,13.98 ,0.65 ,0.54 ,1.17 ,1.94 ,17.70 ,18.44 ,16.76 ,60485010.41,130.56,0.64,0.46 ,-1.36 ,-0.91 ,7.46 ,4,29.85,348,,,
DVFF11,Fundo de Fundos,6.00,58272.87,0.74,0.07,1.05 ,3.18 ,6.33 ,13.24 ,1.06 ,1.06 ,1.10 ,8.85 ,3.85 ,4.94 ,14.16 ,92622392.74,8.41,0.71,0.77 ,-90.77 ,-90.70 ,-89.84 ,14,26.05,1848,,,
EDFO11B,Lajes Corporativas,229.98,7938.50,0.56,0.49,0.42 ,2.45 ,5.30 ,11.89 ,0.82 ,0.88 ,0.99 ,3.59 ,-0.22 ,0.20 ,-17.93 ,49670858.85,210.47,1.09,0.60 ,9.69 ,10.35 ,20.16 ,1,181.93,490,,,
EDGA11,Lajes Corporativas,15.00,62048.83,0.33,0.08,0.49 ,1.02 ,2.68 ,5.08 ,0.34 ,0.45 ,0.42 ,3.48 ,-3.59 ,-3.11 ,6.65 ,177778761.15,46.99,0.32,0.17 ,-23.34 ,-23.21 ,-28.02 ,1,23.32,4027,,,
EGAF11,Indefinido,92.52,268961.78,0.94,1.58,1.66 ,4.58 ,9.01 ,17.98 ,1.53 ,1.50 ,1.50 ,12.25 ,-0.05 ,1.61 ,35.01 ,310197301.58,99.04,0.93,1.42 ,0.00 ,0.00 ,0.00 ,0,12.82,11410,,1.20  aa,10.00  aa
EMET11,Misto,9.71,5628230.83,0.95,0.10,1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,1.02 ,0.00 ,0.00 ,,51901295.40,,,,,,,14,40.64,41,,,
ENDD11,Indefinido,106.30,408780.18,,0.16,0.15 ,0.15 ,0.15 ,5.10 ,0.15 ,0.15 ,0.43 ,0.15 ,9.99 ,10.15 ,10.15 ,,,,,,,,0,17.56,0,,,
EQIA11,Fiagro,,,,0.45,,,,,,,,,,,,,,,,,,,0,,0,,,
EQIR11,Indefinido,7.83,114165.00,0.83,0.11,1.30 ,3.82 ,7.84 ,15.36 ,1.27 ,1.31 ,1.28 ,9.16 ,1.38 ,2.69 ,33.01 ,104612361.62,9.59,0.82,1.04 ,-1.74 ,-0.72 ,-89.58 ,14,16.31,10134,,1.00  aa,
ERCR11,Varejo,15707.85,,0.87,712.11,0.00 ,0.00 ,0.93 ,16.74 ,0.00 ,0.93 ,1.40 ,0.93 ,0.00 ,0.00 ,,43046433.20,18117.19,0.87,1.03 ,-72.77 ,-72.49 ,-70.81 ,14,12.50,10,,0.10  aa,
ERPA11,Lajes Corporativas,126.97,1673.40,0.80,0.94,0.74 ,1.47 ,3.52 ,6.67 ,0.49 ,0.59 ,0.56 ,4.76 ,-0.80 ,-0.06 ,0.97 ,79894939.43,159.50,0.80,0.60 ,16.36 ,17.06 ,44.01 ,2,37.82,604,,,
ESUD11,Indefinido,315.99,1579.95,,72.93,23.08 ,0.00 ,0.00 ,23.08 ,0.00 ,0.00 ,5.77 ,23.08 ,0.00 ,0.00 ,,,,,,,,,0,26.87,0,,,
ESUT11,Indefinido,32.00,609.52,,67.49,210.90 ,0.00 ,0.00 ,210.90 ,0.00 ,0.00 ,52.73 ,210.90 ,0.00 ,0.00 ,,,,,,,,,0,9.96,0,,,
ESUU11,Indefinido,32.00,3200.00,,63.84,199.49 ,0.00 ,0.00 ,199.49 ,0.00 ,0.00 ,49.87 ,199.49 ,0.00 ,0.00 ,,,,,,,,,0,10.03,0,,,
EURO11,Imóveis Industriais e Logísticos,231.00,23427.22,0.73,2.00,0.79 ,2.46 ,5.06 ,10.33 ,0.82 ,0.84 ,0.86 ,6.91 ,6.31 ,7.15 ,28.95 ,126578477.92,329.69,0.70,0.59 ,1.53 ,2.13 ,13.77 ,7,28.75,2095,,,
EVBI11,Misto,9.50,32194.42,1.03,0.11,1.05 ,2.88 ,5.14 ,9.85 ,0.96 ,0.86 ,0.82 ,9.85 ,5.74 ,6.85 ,23.48 ,411540046.98,9.86,0.96,0.96 ,-90.11 ,-90.02 ,-89.22 ,13,14.99,1313,,,
EXES11,Indefinido,9.40,51685.26,0.97,0.13,1.38 ,4.13 ,8.45 ,16.13 ,1.38 ,1.41 ,1.34 ,9.71 ,-0.53 ,0.84 ,23.68 ,68957163.78,,,,,,,14,15.15,695,,1.00  aa,
FAED11,Educacional,142.95,32336.91,0.65,1.66,1.15 ,3.51 ,7.21 ,14.59 ,1.17 ,1.20 ,1.22 ,9.74 ,-2.01 ,-0.88 ,26.91 ,153730513.04,222.03,0.64,0.77 ,2.02 ,2.81 ,9.41 ,4,19.56,4214,,,
FAMB11B,Lajes Corporativas,609.99,47041.93,0.18,1001.61,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,424524340.32,3593.26,0.17,0.25 ,0.53 ,0.79 ,12.82 ,1,47.01,2173,,2.50  aa,
FAOE11,Indefinido,926.90,,14.53,11.16,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,118155565.38,,,,,,,3,,8102,,,
FATN11,Lajes Corporativas,82.55,1162040.70,0.84,0.80,0.97 ,3.05 ,6.31 ,12.74 ,1.02 ,1.05 ,1.06 ,8.54 ,7.98 ,9.02 ,18.17 ,454398531.66,98.53,0.84,0.81 ,-0.48 ,0.32 ,5.80 ,56,9.50,18302,,0.80  aa,
FCFL11,Educacional,125.25,192899.00,1.02,0.90,0.72 ,2.19 ,4.56 ,9.42 ,0.73 ,0.76 ,0.79 ,5.44 ,-1.46 ,-0.75 ,27.23 ,428039871.09,123.21,1.02,0.74 ,6.06 ,6.84 ,25.95 ,1,16.80,3205,,0.30  aa,
FEXC11,Papéis,83.50,860137.12,0.10,0.50,0.00 ,1.08 ,4.14 ,11.48 ,0.36 ,0.69 ,0.96 ,0.00 ,0.00 ,0.00 ,,1001470167.13,90.75,0.92,0.99 ,-1.13 ,-0.15 ,7.12 ,0,14.57,36232,,,
FGAA11,Indefinido,8.47,717009.96,0.92,0.12,1.38 ,4.13 ,6.89 ,14.43 ,1.38 ,1.15 ,1.20 ,14.43 ,-0.80 ,0.57 ,49.10 ,423529768.37,9.39,0.90,0.64 ,0.00 ,0.00 ,0.00 ,0,13.72,49758,,1.15  aa,10.00  aa
FIGS11,Shoppings,46.52,162092.04,0.62,0.48,0.98 ,3.02 ,6.02 ,11.68 ,1.01 ,1.00 ,0.97 ,8.06 ,5.96 ,7.00 ,16.14 ,217349151.64,76.26,0.61,0.59 ,-0.29 ,0.30 ,-19.31 ,2,17.44,12166,,0.50  aa,
FIIB11,Imóveis Industriais e Logísticos,503.49,104906.17,1.07,3.58,0.70 ,2.25 ,4.58 ,9.33 ,0.75 ,0.76 ,0.78 ,6.17 ,0.10 ,0.80 ,15.63 ,325527137.05,475.22,1.06,0.82 ,2.98 ,3.82 ,14.16 ,9,12.22,15325,,,
FIIP11B,Imóveis Industriais e Logísticos,161.37,1172.80,0.73,1.40,0.96 ,2.95 ,5.92 ,10.89 ,0.98 ,0.99 ,0.91 ,4.03 ,-1.78 ,-0.84 ,6.81 ,184360354.72,198.84,0.81,0.70 ,6.81 ,7.56 ,8.46 ,7,11.96,6586,,,
FISC11,Lajes Corporativas,61.05,215.25,0.53,0.50,0.00 ,1.53 ,3.95 ,8.61 ,0.51 ,0.66 ,0.72 ,5.46 ,0.00 ,0.00 ,,194114123.39,114.19,0.53,0.44 ,-0.76 ,-0.32 ,0.17 ,5,84.55,221,,,
FLCR11,Papéis,96.52,33172.52,1.04,1.05,1.08 ,3.73 ,7.31 ,15.47 ,1.24 ,1.22 ,1.29 ,10.25 ,0.12 ,1.21 ,20.62 ,69992579.56,93.09,1.04,1.24 ,-5.42 ,-4.25 ,5.30 ,1,8.45,3013,,1.00  aa,20.00  aa
FLFL11,Fundo de Desenvolvimento,,,,0.18,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,477347358.72,,,,,,,1,,1,,,
FLMA11,Lajes Corporativas,132.08,129665.35,0.61,1.02,0.77 ,2.59 ,4.75 ,9.88 ,0.86 ,0.79 ,0.82 ,6.42 ,0.14 ,0.91 ,12.41 ,304487013.03,220.54,0.60,0.59 ,37.62 ,38.43 ,51.09 ,2,21.10,12266,,0.12  aa,
FLRP11,Shoppings,20.53,10805.17,1.01,0.14,0.68 ,2.74 ,4.95 ,9.26 ,0.91 ,0.83 ,0.77 ,6.49 ,-1.43 ,-0.76 ,22.20 ,150341235.09,20.32,1.01,0.69 ,-98.89 ,-98.88 ,-98.75 ,1,45.28,1388,,,
FMOF11,Lajes Corporativas,75.00,2035.17,0.65,0.43,0.57 ,1.76 ,3.85 ,6.47 ,0.59 ,0.64 ,0.54 ,6.47 ,-3.83 ,-3.29 ,57.14 ,58924917.62,115.99,0.65,0.36 ,-2.19 ,-1.84 ,-4.90 ,2,72.28,230,,,
FPAB11,Lajes Corporativas,213.37,75143.28,0.65,1.35,0.56 ,1.25 ,3.45 ,6.95 ,0.42 ,0.58 ,0.58 ,4.92 ,22.74 ,23.43 ,17.01 ,266029899.60,354.71,0.60,0.37 ,-5.42 ,-5.07 ,-8.93 ,3,69.01,721,,,
FPOR11,Indefinido,22.00,220.00,,0.04,0.18 ,0.18 ,0.18 ,0.18 ,0.18 ,0.18 ,0.18 ,0.18 ,0.00 ,0.00 ,,,,,,,,,0,144.44,0,,,
FRHY11,Indefinido,,,,1.03,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,2173001.91,,,,,,,14,,7,,,
FTCA11,Indefinido,8.26,57191.96,0.78,0.12,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,47372226.36,10.62,0.78,1.13 ,0.00 ,0.00 ,0.00 ,0,23.00,7836,1.10  aa,,
FVPQ11,Shoppings,72.50,92639.52,0.41,0.81,1.12 ,3.92 ,6.93 ,12.08 ,1.31 ,1.16 ,1.01 ,9.57 ,2.61 ,3.75 ,78.42 ,488443810.15,174.43,0.42,0.57 ,-9.28 ,-8.76 ,-7.24 ,1,29.43,4002,,0.12  aa,
FYTO11,Papéis,7.98,148697.04,0.83,0.10,1.25 ,3.86 ,7.68 ,15.25 ,1.29 ,1.28 ,1.27 ,10.40 ,-6.10 ,-4.93 ,20.20 ,149494885.57,,,,,,,0,17.26,10868,,1.10  aa,
FZDA11,Indefinido,118.50,2286.25,0.65,4.11,3.40 ,0.00 ,3.40 ,3.40 ,0.00 ,1.70 ,1.70 ,3.40 ,-0.69 ,2.69 ,2.69 ,281086032.96,173.55,0.68,2.37 ,0.00 ,0.00 ,0.00 ,0,73.68,310,,,
FZDB11,Indefinido,131.14,393.00,0.73,4.21,3.32 ,0.00 ,3.32 ,3.32 ,0.00 ,3.32 ,3.32 ,3.32 ,21.43 ,25.46 ,25.46 ,642880849.04,168.93,0.78,2.49 ,0.00 ,0.00 ,0.00 ,0,43.61,115,,,
GAME11,Indefinido,8.48,73892.87,0.91,0.10,1.09 ,3.34 ,6.93 ,13.63 ,1.11 ,1.16 ,1.14 ,8.05 ,2.97 ,4.09 ,20.71 ,203760629.17,9.39,0.90,1.01 ,-4.57 ,-3.61 ,-98.87 ,14,13.10,21968,,1.10  aa,20.00  aa
GARE11,Imóveis Industriais e Logísticos,9.09,4735385.91,1.00,0.08,0.92 ,2.80 ,5.81 ,12.42 ,0.93 ,0.97 ,1.04 ,8.07 ,0.33 ,1.26 ,17.50 ,1327190841.90,,,,,,,4,14.40,379022,,1.00  aa,20.00  aa
GCFF11,Fundo de Fundos,69.30,87694.83,1.09,3.07,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.27 ,0.00 ,0.00 ,,118155565.38,77.31,0.90,0.97 ,-5.00 ,-4.08 ,-7.97 ,1,1.15,8102,,,
GCOI11,Indefinido,98.90,27197.50,1.02,0.81,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,10910843.87,,,,,,,5,3.38,381,,,
GCRA11,Indefinido,50.00,62556.35,0.59,0.66,1.29 ,3.88 ,7.87 ,16.21 ,1.29 ,1.31 ,1.35 ,10.75 ,-1.18 ,0.09 ,46.58 ,150786404.35,86.12,0.58,0.77 ,-12.12 ,-11.45 ,-0.17 ,0,24.04,7434,,1.15  aa,20.00  aa
GCRI11,Papéis,63.07,134076.87,0.71,0.87,1.29 ,4.04 ,8.55 ,17.43 ,1.35 ,1.43 ,1.45 ,10.09 ,5.38 ,6.74 ,37.16 ,131350982.48,90.35,0.70,0.96 ,-4.26 ,-3.34 ,-1.27 ,14,18.73,4430,,1.00  aa,20.00  aa
GESE11B,Educacional,1520.00,,23.82,1112.72,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,118155565.38,1119.08,1.36,104.32 ,-36.85 ,29.02 ,33.17 ,14,,8102,,,
GGRC11,Imóveis Industriais e Logísticos,9.64,3462005.65,0.87,0.10,1.02 ,3.06 ,6.20 ,12.35 ,1.02 ,1.03 ,1.03 ,8.29 ,-2.78 ,-1.79 ,12.50 ,1705208177.61,11.18,0.86,0.89 ,-91.01 ,-90.93 ,-90.69 ,27,12.82,178722,1.10  aa,,
GLOG11,Imóveis Industriais e Logísticos,64.42,28206.96,0.59,0.41,0.64 ,1.99 ,4.29 ,9.72 ,0.66 ,0.72 ,0.81 ,6.10 ,2.28 ,2.93 ,26.57 ,81479162.72,,,,,,,1,26.10,2032,,,
GRUL11,Logística,7.98,274475.83,0.83,0.11,1.37 ,4.01 ,8.18 ,14.41 ,1.34 ,1.36 ,1.60 ,11.51 ,-4.29 ,-2.97 ,23.81 ,236843425.73,,,,,,,1,34.34,5208,1.00  aa,0.15  aa,
GRWA11,Indefinido,7.88,2314.52,0.79,0.06,0.76 ,2.25 ,5.21 ,12.64 ,0.75 ,0.87 ,1.05 ,7.66 ,-3.07 ,-2.33 ,8.06 ,27712820.61,10.05,0.78,0.60 ,0.00 ,0.00 ,0.00 ,0,30.88,2295,,,
GSFI11,Shoppings,8.64,4005283.74,0.66,0.00,0.03 ,0.03 ,0.03 ,0.03 ,0.01 ,0.00 ,0.00 ,0.03 ,0.00 ,0.03 ,0.03 ,1255570604.31,11.90,0.73,0.01 ,0.01 ,0.02 ,0.02 ,9,16.62,6489,,1.00  aa,
GTLG11,Imóveis Industriais e Logísticos,63.99,22885.25,1.00,60.62,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,37.59 ,0.00 ,0.00 ,,118155565.38,60.62,1.06,100.00 ,-35.83 ,28.33 ,35.22 ,1,34.61,8102,,,
GTWR11,Lajes Corporativas,75.11,533120.57,0.75,0.90,1.18 ,3.42 ,7.11 ,14.14 ,1.14 ,1.19 ,1.18 ,9.63 ,-2.76 ,-1.62 ,24.66 ,1197356381.10,99.78,0.75,0.87 ,5.36 ,6.28 ,11.89 ,3,13.22,35639,,0.25  aa,
GURB11,Indefinido,108.00,5000076.00,0.85,0.70,0.65 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.65 ,0.00 ,0.00 ,,144707018.00,,,,,,,2,1.17,1,,,
GZIT11,Indefinido,43.36,338164.04,0.49,0.78,1.68 ,4.96 ,10.20 ,21.43 ,1.65 ,1.70 ,1.79 ,12.33 ,-1.61 ,0.04 ,42.80 ,1989907157.48,,,,,,,6,29.32,7146,,0.96  aa,20.00  aa
HAAA11,Lajes Corporativas,50.01,10145.86,0.75,0.08,0.16 ,1.24 ,2.20 ,4.96 ,0.41 ,0.37 ,0.41 ,4.01 ,-0.18 ,-0.02 ,64.28 ,229710838.27,66.49,0.75,0.12 ,-25.84 ,-25.75 ,-24.55 ,2,72.23,225,,,
HABT11,Papéis,79.84,499363.39,0.85,1.05,1.27 ,4.03 ,8.19 ,16.51 ,1.34 ,1.37 ,1.38 ,11.28 ,-0.43 ,0.83 ,33.87 ,765536712.75,94.20,0.85,1.22 ,-5.59 ,-4.44 ,11.88 ,14,16.59,62125,1.26  aa,,20.00  aa
HBCR11,Indefinido,138.00,500940.00,1.11,0.53,0.00 ,0.47 ,4.94 ,10.60 ,0.47 ,0.82 ,0.88 ,8.31 ,0.00 ,0.00 ,,198998055.26,,,,,,,2,70.84,37,,,
HBRH11,Lajes Corporativas,90.80,14627.00,0.80,0.50,0.55 ,1.65 ,6.85 ,9.22 ,0.55 ,1.14 ,0.77 ,9.22 ,1.00 ,1.56 ,2.46 ,316852348.31,112.23,0.81,0.45 ,-0.86 ,-0.42 ,7.60 ,5,13.98,720,,,
HCHG11,Papéis,77.40,60267.29,0.82,0.71,0.90 ,3.23 ,6.56 ,14.62 ,1.08 ,1.09 ,1.22 ,9.60 ,-0.25 ,0.64 ,34.42 ,113151334.18,94.29,0.82,1.01 ,-6.75 ,-5.81 ,8.77 ,14,33.88,593,,,
HCRA11,Indefinido,10.22,0.83,,14.85,145.30 ,145.30 ,154.29 ,247.69 ,48.43 ,25.72 ,20.64 ,233.94 ,2.20 ,150.70 ,11.17 ,,,,0.00 ,0.00 ,0.00 ,0.00 ,0,1483.17,0,,,
HCRI11,Hospitalar,266.00,22651.35,0.81,2.86,1.10 ,3.21 ,6.68 ,12.81 ,1.07 ,1.11 ,1.07 ,7.50 ,0.09 ,1.19 ,15.03 ,65200720.56,326.00,0.82,0.84 ,5.86 ,6.74 ,14.24 ,1,35.67,3004,,2.00  aa,
HCTR11,Papéis,22.68,517680.35,0.22,0.30,1.31 ,4.03 ,8.64 ,20.43 ,1.34 ,1.44 ,1.70 ,14.52 ,-4.98 ,-3.73 ,6.76 ,2307509700.09,104.49,0.22,0.27 ,-13.92 ,-13.68 ,1.77 ,14,38.03,140609,0.99  aa,0.21  aa,10.00  aa
HDEL11,Imóveis Industriais e Logísticos,100.01,16.67,0.96,14.03,0.00 ,0.00 ,0.00 ,11.84 ,0.00 ,0.00 ,1.69 ,0.00 ,0.00 ,0.00 ,,87182870.21,,,,,,,1,64.87,108,,1.50  aa,20.00  aa
HFOF11,Fundo de Fundos,5.81,1168016.13,0.78,0.06,0.95 ,2.82 ,5.91 ,12.00 ,0.94 ,0.99 ,1.00 ,8.03 ,-0.84 ,0.10 ,17.05 ,1697927927.41,7.37,0.79,0.76 ,-90.89 ,-90.82 ,-90.44 ,14,13.98,74822,,0.60  aa,20.00  aa
HGAG11,Indefinido,13.40,950.31,0.63,0.10,0.67 ,7.99 ,11.33 ,17.83 ,2.66 ,1.89 ,1.49 ,12.25 ,-1.85 ,-1.19 ,34.18 ,5847321.50,23.55,0.57,0.85 ,0.00 ,0.00 ,0.00 ,0,119.75,1123,,,
HGBL11,Misto,8.52,34616.61,0.89,0.07,0.83 ,2.64 ,5.19 ,13.60 ,0.88 ,0.87 ,1.13 ,7.34 ,0.58 ,1.42 ,-4.88 ,240473954.64,,,,,,,1,15.02,4745,0.50  aa,0.10  aa,
HGBS11,Shoppings,18.71,1657954.22,0.84,0.15,0.81 ,2.42 ,5.00 ,10.26 ,0.81 ,0.83 ,0.86 ,6.84 ,-6.53 ,-5.78 ,9.52 ,2790289688.28,21.61,0.87,0.74 ,-90.26 ,-90.19 ,-89.14 ,16,14.41,131726,,0.60  aa,
HGCR11,Papéis,92.46,2351264.61,0.94,1.05,1.10 ,3.30 ,6.67 ,13.12 ,1.10 ,1.11 ,1.09 ,8.96 ,0.58 ,1.69 ,15.67 ,1505630495.93,97.65,0.95,1.08 ,-3.28 ,-2.24 ,11.17 ,14,13.39,102040,,0.80  aa,20.00  aa
