Cotação,DY,P/VP,Liquidez,Liquidez_unidade,VARIAÇÃO,DY_Pago_ult_12m,Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,Setor,Tipo,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Papel
9.79,7.1,0.99,2.19,M,5.04,0.22,SUNO FAZENDAS FIAGRO – IMOBILIÁRIO,53.313.475/0001-02,Geral,Híbridos,Fiagros,Outro,Indeterminado,Ativa,,0.0,3728,6199989,9.88,R$ 61.27 Milhões,0.1,SNFZ11
143.43,8.38,0.88,4.62,M,-1.44,12.0,KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII,12.005.956/0001-65,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,,4.49,299240,28204036,163.03,R$ 4.60 Bilhões,1.0,KNRI11
154.71,8.53,0.95,5.76,M,3.7,13.2,CSHG LOGÍSTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.728.688/0001-47,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,,3.5,506049,33787564,162.74,R$ 5.50 Bilhões,1.1,HGLG11
108.5,8.11,0.99,5.52,M,8.49,8.82,CAPITÂNIA OFFICE FII - FDO DE INV IMOB,48.916.699/0001-60,Geral,Renda,Híbrido,Fundo misto,Indeterminado,Ativa,,3.0,118,4772394,109.69,R$ 523.49 Milhões,0.75,CPOF11
104.7,9.35,0.89,2.94,M,-0.26,10.74,FUNDO DE INVESTIMENTO IMOBILIÁRIO VBI LOGÍSTICO,30.629.603/0001-18,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,,10.7,130843,16118554,117.64,R$ 1.90 Bilhão,0.75,LVBI11
150.0,4.7,0.95,10.87,M,3.98,3.65,FOF JHSF CAPITAL INSTITUCIONAL FII,50.718.976/0001-72,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Passiva,,0.0,9,1317706,157.25,R$ 207.22 Milhões,0.62,JCIN11
161.64,2.65,0.85,6.09,M,9.98,1.37,JHSF CAPITAL CIDADE JARDIM - FUNDO DE INVESTIMENTO IMOBILIÁRIO,50.701.686/0001-16,Geral,Renda,Fundo de Fundos,Fundo de fundos,Indeterminado,Ativa,0.3,0.0,118,1668494,189.81,R$ 316.69 Milhões,0.36,JCCJ11
92.14,5.05,0.75,563.15,K,-0.1,6.61,FUNDO DE INVESTIMENTO IMOBILIÁRIO APEX MALLS,43.010.485/0001-07,Geral,Híbridos,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,0.0,598,2829131,123.36,R$ 349.01 Milhões,0.29,APXM11
11.75,6.88,1.22,6.88,M,20.14,0.33,CAPITÂNIA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,52.371.756/0001-40,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo misto,Indeterminado,Ativa,,0.0,334,34345209,9.63,R$ 330.74 Milhões,0.03,CPLG11
10.69,3.64,0.77,2.07,M,5.22,0.0,MAUÁ CAPITAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOB,57.466.934/0001-30,Geral,Títulos e valores mobiliários,Logístico / Indústria / Galpões,Outro,Determinado,Ativa,,0.0,188,124642849,13.81,R$ 1.72 Bilhão,0.1,MCLO11
8.34,9.01,0.84,6.64,M,7.89,0.1,BTG PACTUAL REAL ESTATE HEDGE FUND FII - RESP LTDA,45.188.176/0001-57,Geral,Títulos e valores mobiliários,Híbrido,Fundo de papel,Indeterminado,Ativa,,0.0,340382,205846929,9.89,R$ 2.04 Bilhões,0.09,BTHF11
103.95,9.35,0.84,3.69,M,-0.28,10.93,VINCI SHOPPING CENTERS FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.554.274/0001-25,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,5.5,344148,28828629,123.95,R$ 3.57 Bilhões,0.81,VISC11
