P/L,P/RECEITA_(PSR),P/VP,DY,PAYOUT,MARGEM_LÍQUIDA,MARGEM_BRUTA,MARGEM_EBIT,MARGEM_EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO_CIRC_LIQ,VPA,LPA,GIRO_ATIVOS,ROE,ROIC,ROA,DÍVIDA_LÍQUIDA_/_PATRIMÔNIO,DÍVIDA_LÍQUIDA_/_EBITDA,DÍVIDA_LÍQUIDA_/_EBIT,DÍVIDA_BRUTA_/_PATRIMÔNIO,PATRIMÔNIO_/_ATIVOS,PASSIVOS_/_ATIVOS,LIQUIDEZ_CORRENTE,CAGR_RECEITAS_5_ANOS,CAGR_LUCROS_5_ANOS,Papel
6.22,0.60,1.17,6.36,38.89,9.73,25.14,17.94,23.62,6.32,8.32,2.56,3.37,0.27,6.36,-0.35,39.81,7.46,0.44,18.74,10.48,5.49,1.60,3.51,4.62,2.07,0.23,0.71,1.23,11.55,22.10,ENGI11
7.38,0.30,0.25,3.63,26.95,4.06,33.57,16.48,18.30,8.39,9.32,1.64,1.82,0.06,0.21,-0.11,10.92,0.38,0.19,3.44,5.55,2.39,1.05,6.76,7.50,1.19,0.23,0.56,2.31,4.91,20.03,HBOR3
19.87,2.22,1.23,4.62,78.77,11.15,56.10,14.62,19.14,17.57,23.00,11.58,15.15,0.61,12.57,-0.79,18.93,1.17,0.27,6.19,1.85,3.03,0.64,5.99,7.84,0.74,0.49,0.51,1.26,10.25,-10.74,HYPE3
5.55,1.09,0.82,17.76,97.96,19.55,39.37,27.31,48.80,2.94,5.25,2.22,3.97,0.51,5.84,-0.60,15.13,2.24,0.47,14.80,11.29,9.12,0.26,0.72,1.28,0.41,0.62,0.38,2.22,33.79,,RECV3
12.82,0.86,1.46,3.23,41.15,6.70,29.16,18.88,22.96,6.63,8.06,3.74,4.55,0.43,2.32,-0.76,11.68,1.33,0.50,11.36,12.94,3.30,1.13,2.89,3.52,1.35,0.29,0.70,1.73,17.80,2.63,SLCE3
0.11,0.07,0.23,0.00,0.00,62.89,29.76,-2.71,4.03,3.60,-5.36,1.70,-2.53,0.06,0.47,-0.10,21.85,45.44,0.89,207.93,-73.64,56.25,0.25,1.90,-2.83,0.43,0.27,0.73,1.49,7.40,,AMER3
8.22,0.57,0.78,1.76,14.94,6.88,54.72,6.76,12.21,6.20,11.20,4.64,8.37,0.42,2.52,-0.76,40.39,3.85,0.74,9.53,0.93,5.12,0.27,1.57,2.83,0.36,0.54,0.46,1.61,48.66,74.87,AZZA3
6.19,0.64,0.73,0.00,0.00,10.39,13.59,13.68,0.00,,-0.85,,4.70,0.24,2.33,-0.38,63.31,7.48,0.38,11.82,10.41,3.90,-0.86,,-5.56,0.00,0.33,0.67,1.39,-6.92,,IRBR3
4.98,0.24,0.43,9.62,48.23,4.86,30.91,5.52,0.00,,4.48,,4.38,0.03,0.55,-0.48,26.49,2.27,0.12,8.57,8.58,0.59,,,,,0.07,0.93,1.06,18.37,5.02,BRSR6
10.49,1.91,3.29,9.02,93.77,18.19,37.81,22.06,23.98,7.95,8.64,7.96,8.65,0.63,2.09,-1.15,4.23,1.33,0.33,31.32,17.50,6.92,0.00,-0.01,-0.01,0.96,0.19,0.79,2.93,20.38,39.77,DIRR3
8.60,1.09,2.43,7.52,92.60,12.68,21.60,17.46,18.76,5.45,5.86,5.82,6.25,1.73,4.79,-3.73,15.05,4.24,1.58,28.20,22.86,20.07,-0.15,-0.36,-0.39,0.20,0.71,0.29,3.03,16.90,30.70,TGMA3
10.71,1.10,2.19,6.03,64.23,10.26,38.55,23.12,36.52,6.77,10.70,3.01,4.75,0.37,2.80,-0.50,1.65,0.34,0.34,20.50,9.35,3.82,2.74,3.75,5.92,3.53,0.17,0.78,2.11,11.26,,KLBN4
5.38,0.30,0.79,5.46,28.86,5.61,44.52,8.31,10.98,5.14,6.80,2.75,3.63,0.29,1.76,-0.62,12.93,1.90,0.95,14.69,11.82,5.34,0.69,2.39,3.16,0.82,0.36,0.64,1.43,27.98,,SBFG3
8.83,0.85,1.82,9.74,78.43,9.57,26.76,14.50,16.96,4.93,5.76,4.98,5.83,0.87,2.66,-2.55,4.06,0.83,1.03,20.58,14.86,9.83,-0.02,-0.05,-0.06,0.47,0.48,0.52,1.98,18.48,17.26,KEPL3
58.81,0.34,0.39,0.30,0.00,0.57,85.28,12.92,35.75,2.70,7.46,0.94,2.60,0.13,-1.63,-0.19,4.62,0.03,0.40,0.65,7.09,0.44,0.72,1.76,4.86,1.05,0.35,0.65,0.79,-5.76,-46.86,QUAL3
8.32,1.02,2.09,7.21,49.25,12.29,31.48,24.89,29.88,5.30,6.36,3.42,4.11,0.57,-19.84,-0.71,18.64,4.69,0.56,25.17,16.77,7.20,1.15,1.88,2.26,1.35,0.27,0.72,0.88,7.33,9.01,CPFE3
-6.89,0.23,0.27,0.00,0.00,-3.34,24.22,0.49,2.17,12.69,56.73,10.59,47.34,0.15,0.43,-0.46,3.62,-0.14,0.65,-3.89,-1.40,-2.16,0.05,2.10,9.39,0.22,0.56,0.44,2.04,,,MLAS3
11.84,2.00,7.00,4.58,54.82,16.90,39.14,22.18,22.91,8.52,8.80,8.73,9.02,1.80,5.91,-4.27,4.56,2.69,0.90,59.14,34.97,16.79,-0.17,-0.21,-0.22,0.98,0.26,0.70,2.10,32.38,434.23,CURY3
10.75,0.44,1.49,3.19,30.25,4.14,22.93,6.92,8.04,5.92,6.89,5.53,6.43,0.75,2.25,-1.77,4.62,0.64,1.68,13.84,17.33,7.04,0.11,0.40,0.46,0.21,0.50,0.49,2.34,22.50,14.59,GMAT3
-2.68,0.40,0.87,0.00,0.00,-15.06,30.91,-6.50,-1.08,-102.37,-17.07,-37.29,-6.22,0.24,2.58,-0.36,5.41,-1.76,0.60,-32.51,-6.63,-10.00,1.52,-65.08,-10.85,1.86,0.28,0.70,1.40,,,ONCO3
0.95,0.15,0.39,0.00,0.00,15.69,16.48,6.79,13.25,4.41,8.62,1.12,2.19,0.08,2.60,-0.11,15.00,6.23,0.57,41.56,4.36,8.88,1.16,3.29,6.43,1.72,0.21,0.79,1.15,2.52,27.40,LIGT3
4.47,1.78,0.71,10.76,47.90,39.74,39.29,58.41,58.84,6.02,6.06,3.02,3.04,0.33,2.64,-0.39,31.27,4.93,0.19,15.76,12.90,7.52,0.60,2.55,2.57,0.68,0.47,0.52,5.95,17.19,-0.47,ISAE4
10.91,0.91,2.35,4.54,31.93,8.36,100.00,8.64,9.78,6.59,7.46,9.32,10.55,0.67,10.62,-1.49,22.40,4.83,0.73,21.54,13.04,6.22,-0.69,-2.72,-3.08,0.00,0.28,0.71,1.13,14.93,13.43,PSSA3
4.41,1.46,0.87,6.52,19.95,33.17,56.64,36.81,45.31,4.96,6.10,3.23,3.97,0.41,19.75,-0.47,38.99,7.68,0.28,19.69,12.82,9.08,0.45,1.67,2.06,0.57,0.47,0.53,1.21,7.83,17.82,SAPR11
10.78,0.75,0.80,5.52,58.82,6.96,23.13,19.76,41.05,4.32,8.97,1.83,3.80,0.25,1.40,-0.36,20.86,1.54,0.34,7.40,8.33,2.34,1.09,2.49,5.17,1.49,0.32,0.68,2.50,11.41,-9.86,SMTO3
5.94,1.76,0.58,10.28,52.37,29.61,37.76,25.19,26.07,7.53,7.79,6.75,6.98,0.42,1.05,-0.75,22.70,2.23,0.24,9.83,5.79,7.42,0.07,0.78,0.81,0.31,0.71,0.27,9.37,12.21,4.68,EZTC3
-775.44,0.18,0.38,6.41,-4982.90,-0.02,24.66,6.57,8.59,4.14,5.41,2.06,2.68,0.15,0.47,-0.41,11.27,-0.01,0.82,-0.05,7.18,0.13,0.38,2.09,2.73,0.81,0.38,0.61,1.93,9.32,-51.10,POSI3
7.19,0.49,1.57,1.35,9.70,6.79,17.69,7.76,8.49,7.56,8.27,5.75,6.29,0.61,2.38,-1.80,9.00,1.96,1.24,21.82,9.23,8.44,0.49,1.81,1.98,0.91,0.39,0.61,1.63,,,TTEN3
12.39,3.06,5.56,8.71,134.08,24.70,36.68,32.49,34.90,8.32,8.93,8.77,9.42,3.39,-36.96,-4.45,2.34,1.05,1.11,44.90,40.15,27.37,-0.29,-0.46,-0.49,0.00,0.61,0.39,0.72,5.87,10.02,ODPV3
7.42,0.95,2.91,7.95,57.48,12.84,33.16,17.90,18.20,5.60,5.69,5.23,5.32,0.87,1.41,-5.43,4.46,1.75,0.91,39.24,26.06,13.79,0.20,0.36,0.37,0.81,0.30,0.68,3.74,16.51,18.30,PLPL3
6.39,2.65,1.50,8.99,35.97,41.44,61.77,70.52,71.26,6.77,6.84,3.72,3.76,0.53,18.69,-0.63,22.10,5.20,0.20,23.53,15.95,8.33,1.24,3.06,3.09,1.35,0.35,0.65,1.24,3.95,-4.57,TAEE11
-0.80,0.07,0.13,0.00,0.00,-8.70,28.55,9.06,18.67,2.89,5.95,0.37,0.77,0.05,0.66,-0.07,10.11,-1.61,0.69,-15.91,5.20,-5.96,0.86,2.52,5.18,1.04,0.38,0.62,1.37,14.63,,DASA3
14.35,0.60,1.30,3.10,44.89,4.20,37.68,3.52,0.00,,17.16,,17.16,0.15,3.23,-1.35,5.92,0.54,0.24,9.08,5.18,1.04,,,,,0.11,0.89,1.05,11.11,1.05,BPAN4
-0.21,0.03,0.17,0.00,-3.02,-12.72,11.50,-5.63,-4.23,-6.50,-4.89,-0.63,-0.47,0.03,0.15,-0.07,5.54,-4.53,1.25,-81.75,-12.64,-15.87,1.60,-5.87,-4.41,2.05,0.19,0.81,1.74,,,VVEO3
4.83,0.56,0.80,9.14,43.82,11.58,21.67,12.42,0.00,,4.51,,4.51,0.08,0.10,-0.93,26.90,4.44,0.15,16.51,17.15,1.75,,,,,0.11,0.89,19.77,9.71,27.53,ABCB4
6.79,0.23,0.46,11.32,57.94,3.34,40.50,1.57,0.00,,14.46,,14.46,0.04,-1.90,-0.26,7.67,0.52,0.19,6.80,-1.03,0.69,,,,,0.09,0.91,0.97,17.74,1.35,BMGB4
10.10,0.41,0.75,1.44,21.56,4.05,59.87,8.46,12.94,3.75,5.73,3.16,4.83,0.31,1.51,-0.81,11.07,0.82,0.75,7.45,9.38,3.04,0.14,0.59,0.90,0.36,0.41,0.59,1.48,10.24,,GUAR3
10.75,2.72,2.63,5.89,39.31,25.27,50.13,53.16,63.36,7.13,8.50,4.29,5.11,0.61,12.42,-0.73,15.09,3.69,0.22,24.44,13.97,5.89,1.74,2.84,3.39,2.20,0.23,0.75,1.42,-0.58,2.35,EGIE3
9.27,0.20,0.22,0.00,0.00,2.15,8.21,3.61,8.28,3.26,7.46,2.41,5.51,0.13,0.39,-0.24,19.37,0.46,0.66,2.37,2.54,1.31,0.04,0.42,0.96,0.32,0.60,0.33,4.16,10.73,-16.26,USIM3
24.42,1.46,1.54,1.15,26.72,5.97,46.65,5.85,11.31,11.98,23.17,12.89,24.93,1.02,3.77,-2.01,6.05,0.38,0.70,6.29,4.74,4.18,-0.04,-0.37,-0.71,0.17,0.67,0.33,2.25,5.29,15.31,ALPA4
17.87,1.24,2.75,2.76,49.22,6.95,33.43,14.24,18.68,8.79,11.53,6.65,8.73,0.91,3.43,-1.74,8.09,1.25,0.73,15.40,11.99,5.18,0.88,2.14,2.80,1.23,0.33,0.67,2.24,23.68,13.56,FRAS3
8.62,3.15,0.98,49.72,908.82,36.56,52.55,51.05,64.62,3.71,4.70,4.88,6.17,0.37,1.85,-0.51,6.80,0.77,0.12,11.34,7.52,4.51,-0.23,-1.16,-1.47,0.45,0.38,0.35,3.39,-7.91,-0.61,SYNE3
4.23,1.40,0.83,6.94,19.95,33.17,56.64,36.81,45.31,4.96,6.10,3.10,3.81,0.39,18.96,-0.45,7.80,1.54,0.28,19.69,12.82,9.08,0.45,1.67,2.06,0.57,0.47,0.53,1.21,7.83,17.82,SAPR4
-2.83,0.18,0.40,0.00,0.00,-6.23,33.85,0.90,11.15,2.63,32.47,1.58,19.51,0.15,-20.44,-0.19,3.27,-0.46,0.85,-14.05,0.58,-5.31,0.26,1.05,12.96,0.58,0.38,0.62,0.97,12.88,,MEAL3
12.88,0.15,0.75,7.06,90.96,1.19,31.86,5.06,8.86,2.93,5.13,1.73,3.02,0.23,1.15,-0.50,4.78,0.28,1.50,5.85,13.57,1.79,0.52,1.20,2.10,0.61,0.30,0.69,1.58,14.82,11.17,PGMN3
7.57,0.13,0.48,4.39,39.74,1.73,12.17,6.76,10.19,3.70,5.57,1.28,1.93,0.14,0.74,-0.26,28.09,1.79,1.07,6.37,8.96,2.50,0.91,2.41,3.63,1.30,0.29,0.68,1.68,12.71,,MYPK3
7.40,0.13,0.43,6.83,50.19,1.70,19.67,5.12,7.13,6.28,8.73,1.76,2.45,0.12,0.71,-0.31,9.97,0.58,0.99,5.86,6.08,1.68,1.11,4.52,6.29,1.58,0.29,0.71,1.42,10.05,-15.07,CAML3
6.18,0.83,1.10,8.22,52.82,13.40,25.67,14.04,17.52,14.16,17.67,4.73,5.90,0.59,1.38,-1.66,4.24,0.76,0.72,17.83,11.24,9.61,-0.06,-0.28,-0.35,0.54,0.54,0.46,3.04,13.90,13.73,SHUL4
4.61,1.06,1.25,9.93,41.08,22.92,41.62,25.61,37.01,4.70,6.80,2.85,4.12,0.47,2.12,-0.71,5.93,1.61,0.45,27.20,10.45,10.26,0.81,1.85,2.67,1.25,0.38,0.62,3.08,10.38,33.05,RANI3
-9.68,0.76,0.66,0.00,0.00,-7.80,56.11,-10.79,2.96,0.25,-0.07,25.55,-7.00,0.48,1.25,-1.12,1.51,-0.10,0.63,-6.77,-9.71,-4.92,-0.65,-25.30,6.93,0.00,0.73,0.27,2.95,27.24,,ENJU3
-15.21,0.39,0.43,0.00,-36.65,-2.56,21.69,12.87,48.99,4.00,15.23,0.80,3.03,0.11,0.54,-0.18,6.55,-0.18,0.29,-2.82,3.10,-0.75,1.73,3.20,12.20,2.49,0.27,0.73,2.53,7.42,,JALL3
9.25,2.22,1.12,3.10,27.12,24.01,69.38,65.43,69.56,6.34,6.74,3.19,3.39,0.31,2.76,-0.39,26.00,3.15,0.14,12.11,13.01,5.85,1.06,3.02,3.21,1.49,0.27,0.62,2.13,-6.78,-2.27,ALUP11
-0.01,0.04,0.00,0.00,0.00,-339.10,20.50,-67.87,-67.58,-4.26,-4.24,-0.06,-0.06,0.01,-0.01,-0.03,-115.52,-15.96,0.27,-13.82,6.03,-93.39,-0.12,-4.20,-4.19,-0.12,-6.67,7.81,0.33,-7.67,,PDGR3
13.48,0.70,1.01,2.94,39.56,5.23,13.35,7.95,10.10,8.45,10.73,6.97,8.86,0.38,0.79,-1.28,10.00,0.75,0.54,7.49,6.45,4.82,0.21,1.47,1.87,0.63,0.38,0.45,3.21,26.95,19.74,SOJA3
6.24,0.31,0.36,16.12,90.44,5.04,25.24,12.96,9.34,7.92,5.71,3.37,2.43,0.16,0.33,-0.85,9.38,0.54,0.49,5.79,7.34,3.48,0.49,4.55,3.28,0.67,0.43,0.55,2.35,22.63,10.35,MTRE3
4.90,0.37,0.46,4.49,14.45,7.56,35.63,9.15,12.00,6.50,8.53,3.08,4.04,0.23,0.87,-0.54,10.06,0.94,0.61,9.29,6.64,4.62,0.48,3.23,4.24,0.63,0.50,0.50,1.81,-2.44,-14.79,TASA4
15.91,2.41,0.89,8.56,63.00,15.17,45.23,42.34,52.11,6.31,7.77,4.63,5.70,0.38,4.55,-0.47,51.45,2.87,0.16,5.58,9.73,2.41,0.34,1.78,2.19,0.59,0.43,0.57,1.86,8.48,0.75,ELET6
6.74,1.64,2.29,7.61,55.74,24.37,41.45,21.52,25.13,6.71,7.84,6.54,7.63,1.61,3.66,-5.08,8.58,2.92,0.98,33.99,24.36,23.91,0.06,0.17,0.20,0.15,0.70,0.30,2.82,22.76,90.94,VULC3
13.99,1.12,1.56,6.60,92.45,7.99,24.08,8.22,12.45,6.56,9.94,8.97,13.60,1.09,2.61,-3.29,12.96,1.45,0.97,11.17,6.68,7.92,-0.42,-2.41,-3.65,0.02,0.70,0.30,2.65,56.13,26.25,BMOB3
9.37,1.65,1.85,4.13,39.07,17.58,63.21,33.84,48.37,4.90,7.01,3.41,4.87,0.75,4.21,-1.10,6.54,1.29,0.45,19.69,14.34,7.98,0.81,1.50,2.14,1.15,0.40,0.59,2.21,27.63,,MILS3
7.88,0.90,0.64,8.22,62.90,11.38,17.41,4.02,14.25,6.13,21.73,6.29,22.32,0.50,1.68,-0.87,9.54,0.77,0.56,8.09,2.21,6.38,-0.20,-1.98,-7.01,0.09,0.79,0.21,3.46,8.10,31.26,FESA4
6.17,1.02,1.19,5.48,32.42,16.47,33.03,16.84,17.87,6.20,6.58,5.68,6.03,0.44,1.43,-0.88,19.91,3.83,0.43,19.22,12.95,7.09,0.11,0.52,0.55,0.29,0.37,0.63,2.54,30.91,,MDNE3
8.23,0.95,1.69,9.51,65.93,11.60,36.48,12.35,0.00,,8.17,,7.73,0.12,0.66,-1.95,19.34,3.97,0.13,20.54,21.01,1.52,,,,,0.07,0.92,1.25,16.28,23.81,ITUB3
13.90,0.86,1.24,1.60,22.05,6.17,29.06,17.20,22.36,5.43,7.06,3.84,4.99,0.42,1.78,-0.64,3.80,0.34,0.48,8.94,10.15,3.13,0.52,1.59,2.07,0.96,0.33,0.66,3.09,24.05,11.19,MATD3
0.92,0.09,0.04,0.00,0.00,9.98,-8.21,-3.09,-1.82,-86.00,-50.53,-5.06,-2.97,0.02,0.08,-0.04,297.54,14.38,0.19,4.83,-2.61,-0.72,0.71,-80.94,-47.56,0.81,0.39,0.61,1.62,1.88,,GFSA3
-51.64,0.19,0.61,9.73,-577.71,-0.36,16.05,2.99,6.82,6.41,14.62,2.73,6.21,0.19,0.52,-0.51,21.94,-0.26,1.02,-1.18,2.41,-0.35,0.82,3.69,8.41,1.28,0.31,0.69,2.41,19.49,,TUPY3
-67.28,0.82,0.75,5.70,-379.56,-1.21,27.05,2.20,2.44,38.30,42.34,33.52,37.05,0.28,0.46,-1.18,9.48,-0.11,0.34,-1.11,0.16,1.80,0.11,4.78,5.29,0.59,0.37,0.58,4.80,5.42,11.62,EVEN3
8.07,0.61,1.05,8.80,68.03,7.51,49.82,20.24,28.73,2.92,4.15,2.11,3.00,0.35,5.98,-0.44,4.23,0.55,0.58,13.05,19.04,4.32,0.41,0.81,1.15,0.83,0.33,0.67,1.38,8.30,,CSED3
6.02,1.39,1.59,8.79,48.80,23.08,34.87,27.13,27.28,6.56,6.59,5.10,5.13,0.65,1.18,-2.50,7.84,2.06,0.47,26.35,18.07,12.39,0.45,1.46,1.47,0.54,0.41,0.53,3.84,37.79,31.90,LAVV3
8.37,1.39,1.18,6.63,20.15,16.54,50.88,26.25,47.28,3.39,6.11,2.93,5.28,0.65,7.53,-0.85,3.50,0.49,0.47,14.08,12.25,7.73,0.19,0.46,0.83,0.44,0.55,0.45,1.56,,,FIQE3
6.91,0.94,1.99,3.17,21.31,13.63,61.85,44.23,53.63,1.89,2.29,1.76,2.13,0.52,-31.89,-0.68,4.02,1.16,0.55,28.76,39.91,13.79,0.15,0.13,0.16,0.63,0.26,0.48,0.93,11.04,11.06,WIZC3
11.79,0.51,0.83,1.83,21.46,4.34,58.26,15.70,25.74,3.05,5.00,1.99,3.26,0.32,4.41,-0.45,10.21,0.72,0.63,7.03,14.68,2.74,0.44,1.06,1.73,0.63,0.39,0.61,1.35,11.22,-10.95,SEER3
54.94,4.38,3.07,0.00,0.00,7.97,45.52,23.59,42.04,12.76,22.73,10.41,18.55,1.07,5.47,-1.61,16.91,0.95,0.24,5.59,6.33,1.39,0.69,2.34,4.17,1.36,0.35,0.63,2.36,20.34,17.87,ORVR3
4.83,0.39,1.21,8.44,40.07,8.17,18.48,11.96,0.00,,3.23,,3.30,0.05,0.06,-0.48,5.21,1.30,0.12,25.06,29.76,0.97,,,,,0.04,0.96,12.26,40.22,,PINE4
7.64,1.22,0.95,2.82,23.21,15.99,39.95,23.91,27.28,4.91,5.60,4.48,5.11,0.62,1.94,-1.17,12.63,1.58,0.51,12.47,11.18,8.07,0.09,0.43,0.49,0.22,0.65,0.35,3.17,8.42,2.00,BLAU3
12.31,0.15,0.81,8.21,100.51,1.26,16.31,11.79,19.09,4.45,7.20,0.81,1.31,0.12,0.65,-0.19,6.35,0.42,0.78,6.59,11.08,0.98,3.64,3.64,5.89,4.41,0.15,0.85,1.99,27.55,-1.81,JSLG3
-3.57,0.20,2.11,0.00,0.00,-5.70,36.20,4.42,12.10,4.89,13.41,1.68,4.62,0.14,-6.88,-0.22,1.76,-1.04,0.71,-59.00,5.98,-4.05,4.01,3.21,8.79,5.17,0.07,0.93,0.94,14.08,,PTBL3
-151.54,0.71,1.41,0.00,0.00,-0.47,25.33,12.29,28.64,4.89,11.39,2.48,5.78,0.46,4.22,-0.66,4.58,-0.04,0.65,-0.93,7.45,-0.31,1.36,2.40,5.61,1.69,0.33,0.67,1.54,23.08,,OPCT3
17.14,1.92,0.19,0.00,0.00,11.20,67.22,102.21,105.14,8.92,9.17,1.83,1.88,0.07,1.43,-0.08,19.45,0.21,0.04,1.09,4.94,2.05,0.73,7.09,7.30,0.82,0.39,0.44,1.87,20.33,,HBRE3
30.34,0.50,2.06,0.34,10.41,1.64,21.96,7.98,12.50,6.04,9.47,3.99,6.25,0.49,1.69,-1.13,7.28,0.50,0.99,6.80,9.26,2.25,1.06,2.06,3.22,2.15,0.24,0.75,2.06,42.23,,PRNR3
5.58,0.62,0.70,32.44,181.57,11.06,25.21,11.07,11.39,5.71,5.88,5.42,5.58,0.29,0.62,-1.13,5.19,0.65,0.46,12.47,6.63,7.30,0.04,0.29,0.30,0.41,0.41,0.53,2.65,15.71,27.11,MELK3
-5.08,0.20,0.65,0.00,0.00,-3.89,64.76,-0.15,5.25,7.14,-249.61,3.76,-131.62,0.23,-7.20,-0.29,5.35,-0.69,1.15,-12.84,-2.13,-4.46,0.59,3.37,-117.99,0.76,0.35,0.65,0.87,16.79,,ZAMP3
6.74,0.71,4.91,9.80,66.45,10.54,27.03,16.49,18.83,5.00,5.71,3.77,4.31,0.97,6.31,-2.52,5.45,3.97,1.37,72.76,32.88,14.41,1.60,1.23,1.40,1.88,0.20,0.80,1.33,16.27,34.50,LEVE3
12.55,0.29,1.19,3.74,34.04,2.28,31.98,4.47,8.77,5.53,10.86,3.26,6.40,0.44,1.79,-1.04,8.21,0.78,1.55,9.51,8.66,3.53,0.83,2.27,4.46,0.99,0.37,0.63,1.75,12.83,15.89,PNVL3
8.04,0.09,0.71,7.41,60.33,1.07,14.84,2.68,3.28,4.95,6.06,2.62,3.21,0.18,1.10,-0.58,10.79,0.95,2.05,8.83,11.87,2.31,0.63,2.33,2.85,0.82,0.25,0.70,1.30,15.02,14.96,PFRM3
8.93,4.58,2.00,13.61,116.88,51.30,100.00,3.91,0.00,,-32.77,,117.22,0.10,2.44,-10.96,7.69,1.72,0.02,22.37,-4.44,1.17,-0.56,,-32.77,0.00,0.05,0.95,1.04,,,BRBI11
26.34,0.80,0.80,1.45,38.39,3.03,42.70,14.07,43.91,4.24,13.25,1.82,5.67,0.30,-9.29,-0.36,3.51,0.11,0.38,3.05,5.72,1.15,1.07,2.43,7.58,1.30,0.38,0.62,0.83,,,BRST3
-0.03,0.04,-0.05,0.00,0.00,-142.30,-3.27,-147.31,-121.76,-1.09,-0.90,-0.04,-0.03,0.03,-0.06,-0.03,-21.45,-30.95,0.62,-144.29,-456.64,-103.75,-1.30,-1.05,-0.87,-1.33,-0.62,1.75,0.24,-5.08,,SEQL3
37.97,0.35,0.42,0.16,6.23,0.92,33.89,14.50,23.25,4.09,6.55,1.50,2.41,0.16,1.09,-0.31,2.41,0.03,0.47,1.10,7.44,0.40,0.72,2.59,4.15,0.93,0.39,0.61,1.48,14.92,-31.28,ESPA3
6.03,0.93,0.79,4.70,37.29,15.48,30.86,16.50,18.52,6.71,7.53,5.04,5.66,0.37,0.65,-2.81,8.23,1.07,0.39,13.02,7.06,6.25,0.26,1.67,1.87,0.63,0.47,0.53,2.81,7.99,2.29,TRIS3
4.86,7.83,0.48,10.75,46.43,161.20,97.69,232.52,235.59,7.19,7.29,3.32,3.37,0.25,2.88,-0.32,42.57,4.21,0.03,9.88,8.00,5.17,0.56,3.87,3.92,0.63,0.52,0.48,1.70,10.13,21.05,LOGG3
6.58,0.89,1.90,8.20,54.02,13.49,24.70,15.90,17.71,6.74,7.51,5.01,5.58,0.84,2.99,-2.11,3.67,1.06,0.94,28.97,14.89,12.84,0.32,0.85,0.95,0.79,0.44,0.55,1.87,20.08,68.13,POMO3
6.02,0.78,0.97,11.07,43.06,13.01,34.04,15.15,19.96,4.06,5.35,3.92,5.17,0.59,1.78,-1.16,21.29,3.43,0.75,16.12,13.51,9.84,0.03,0.14,0.19,0.33,0.61,0.39,3.04,2.18,,VLID3
10.88,1.12,2.23,5.95,64.23,10.26,38.55,23.12,36.52,6.77,10.70,3.06,4.83,0.38,2.85,-0.50,1.65,0.34,0.34,20.50,9.35,3.82,2.74,3.75,5.92,3.53,0.17,0.78,2.11,11.26,,KLBN3
-2.44,8.47,-2.19,0.00,0.00,-347.62,3.27,-281.31,-263.71,-2.56,-2.40,-3.21,-3.01,1.25,-6.56,-1.87,-0.74,-0.67,0.15,-90.06,72.88,-54.35,0.00,0.00,0.00,0.00,-0.57,1.57,0.64,-26.48,,RCSL3
-2.97,0.95,0.29,0.00,0.00,-32.12,-17.14,3.44,29.97,8.57,74.68,3.18,27.69,0.12,-3.07,-0.14,3.47,-0.34,0.13,-9.80,0.32,-4.19,0.50,5.45,47.45,0.57,0.43,0.57,0.69,41.12,,RNEW4
3.45,0.62,0.50,0.21,0.73,17.89,64.92,21.81,31.66,4.51,6.54,1.95,2.83,0.23,2.30,-0.27,20.39,2.95,0.37,14.46,3.08,6.66,0.66,2.56,3.72,0.86,0.46,0.54,2.66,,,VTRU3
-0.07,0.21,-0.02,0.00,0.00,-283.89,-30.88,-74.88,-58.35,-16.98,-13.23,-0.35,-0.27,0.07,-0.02,-0.09,-82.89,-19.10,0.35,-23.04,29.38,-98.35,-0.79,-16.63,-12.96,-0.79,-4.27,5.27,0.05,-33.93,,PMAM3
16.69,1.00,1.20,2.01,33.52,5.97,32.75,7.11,11.09,8.73,13.62,8.99,14.03,0.77,2.90,-1.44,24.01,1.73,0.77,7.21,5.88,4.62,-0.03,-0.26,-0.41,0.23,0.64,0.36,2.33,6.26,-5.13,MDIA3
5.01,1.66,0.99,5.32,19.95,33.17,56.64,36.81,45.31,4.96,6.10,3.67,4.51,0.47,22.44,-0.53,7.80,1.54,0.28,19.69,12.82,9.08,0.45,1.67,2.06,0.57,0.47,0.53,1.21,7.83,17.82,SAPR3
6.81,1.56,0.97,7.66,51.61,22.84,39.38,29.46,35.25,7.75,9.27,4.42,5.28,0.53,4.56,-0.78,21.13,3.01,0.34,14.27,9.34,7.79,0.73,3.33,3.99,0.77,0.55,0.45,1.58,10.96,22.82,AGRO3
109.71,15.72,28.69,1.55,143.30,14.33,57.53,20.41,23.74,66.76,77.66,66.20,77.02,17.81,37.98,-56.35,0.54,0.14,1.13,26.15,23.54,16.24,0.24,0.55,0.64,0.29,0.62,0.38,3.18,28.39,38.91,TFCO4
10.24,0.88,1.18,6.46,13.80,8.64,32.49,10.41,389.38,0.27,10.26,0.23,8.49,0.78,2.16,-1.87,4.00,0.46,0.88,11.52,8.23,7.58,0.25,0.05,1.77,0.35,0.66,0.34,2.63,8.61,-4.28,VITT3
-3.25,0.04,0.19,0.00,0.00,-1.10,14.15,2.08,3.96,6.90,13.15,0.90,1.72,0.05,0.22,-0.11,59.15,-3.37,1.34,-5.70,4.22,-1.48,1.23,5.99,11.43,1.35,0.26,0.74,1.63,,,AMOB3
